gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass,Northeast,Biomass,2017,15.5879274194,0.0,27167.3845368
Coal,Coast,Coal-Sub,2017,2004.04224765,0.0,2184080.60634
Coal,Northeast,Coal-Lig,2017,1942.89458069,0.0,1973723.32249
Coal,Northeast,Coal-Sub,2017,2375.30591775,0.0,2506832.21271
Coal,South,Coal-Lig,2017,0.0,0.0,0.0
Coal,South,Coal-Sub,2017,650.885392219,0.0,739189.299356
Hydro,Northeast,Hydro,2017,261.282217757,0.0,0.0
NGBlr-GSSUP,Coast,NGBlr,2017,1340.84127682,0.0,856340.874393
NGBlr-GSSUP,Northeast,NGBlr,2017,4194.05369104,0.0,2661591.11771
NGBlr-GSSUp,Coast,NGBlr,2017,500.037649021,0.0,316177.549439
NGBlr-Non-reheat,Northeast,NGBlr,2017,1910.32764459,0.0,1422718.69802
NGBlr-Non-reheat,South,NGBlr,2017,0.0,0.0,0.0
NGBlr-Reheat,Coast,NGBlr,2017,773.165659585,0.0,526121.7345
NGBlr-Reheat,Northeast,NGBlr,2017,3928.8242721,0.0,2777328.5111
NGBlr-Reheat,South,NGBlr,2017,52.9521309965,0.0,37844.7262983
NGCC-E_Class,Coast,NGCC,2017,1353.2970712,0.0,517848.490088
NGCC-E_Class,Northeast,NGCC,2017,25.07382572,0.0,11034.3788543
NGCC-E_Class,South,NGCC,2017,4862.8979316,0.0,1773692.1666
NGCC-E_Class,West,NGCC,2017,402.83405948,0.0,204832.003763
NGCC-F_Class,Coast,NGCC,2017,7676.11987148,0.0,3786463.5312
NGCC-F_Class,Northeast,NGCC,2017,714.069536314,0.0,298575.079603
NGCC-F_Class,South,NGCC,2017,325.928623475,0.0,141756.260724
NGCC-F_Class,West,NGCC,2017,11983.2223828,0.0,5578288.17723
NGCC-G&H_Class,Coast,NGCC,2017,262.056664495,0.0,216935.468272
NGCC-G&H_Class,Northeast,NGCC,2017,331.773190741,0.0,157509.854949
NGCC-G&H_Class,South,NGCC,2017,0.0,0.0,0.0
NGCC-LM6000,Coast,NGCC,2017,179.887830639,0.0,98040.7183523
NGCC-LM6000,South,NGCC,2017,0.0,0.0,0.0
NGIC,Northeast,NGIC,2017,4.4006733871,0.0,2570.18155089
NGIC,South,NGIC,2017,0.0,0.0,0.0
NGIC,West,NGIC,2017,501.607623185,0.0,278546.593786
Nucl,Coast,Nucl,2017,2332.60833797,0.0,0.0
Nucl,Northeast,Nucl,2017,9408.30110224,0.0,0.0
OCGT-E_Class,Coast,OCGT,2017,1077.40713086,0.0,857999.621596
OCGT-E_Class,Northeast,OCGT,2017,68.9880281221,0.0,47311.9682443
OCGT-E_Class,South,OCGT,2017,0.0,0.0,0.0
OCGT-E_Class,West,OCGT,2017,2186.44964613,0.0,1762368.74597
OCGT-LM6000,Coast,OCGT,2017,175.215345271,0.0,121892.543308
OCGT-LM6000,Northeast,OCGT,2017,7.0342544551,0.0,3911.19934126
OCGT-LM6000,South,OCGT,2017,0.519597580645,0.0,288.741509752
OCGT-LM6000,West,OCGT,2017,158.514456117,0.0,88046.0084067
OCGT-LMS100,South,OCGT,2017,0.0,0.0,0.0
OCGT-Older,Coast,OCGT,2017,324.218104844,0.0,278661.262409
OCGT-Older,Northeast,OCGT,2017,55.5910024704,0.0,47162.1684897
OCGT-Older,South,OCGT,2017,0.0,0.0,0.0
